American Manufacturing, Inc.	https://arpa-e.energy.gov/?q=slick-sheet-project/flash-sintering-system	Flash Sintering System	Louisville, CO	$1,000,000	ACTIVE
Ames Laboratory	https://arpa-e.energy.gov/?q=slick-sheet-project/cerium-based-magnets	Cerium-Based Magnets	Ames, IA	$3,065,922	ALUMNI
Applied Materials	https://arpa-e.energy.gov/?q=slick-sheet-project/new-electrode-manufacturing-process-equipment	New Electrode Manufacturing Process Equipment	Santa Clara, CA	$4,373,990	ALUMNI
Applied Materials	https://arpa-e.energy.gov/?q=slick-sheet-project/low-cost-silicon-wafers-solar-modules	Low-Cost Silicon Wafers for Solar Modules	Santa Clara, CA	$4,958,074	ALUMNI
Applied Research Associates, Inc. (ARA)	https://arpa-e.energy.gov/?q=slick-sheet-project/cooling-using-thermochemical-cycle	Cooling Using Thermochemical Cycle	Albuquerque, NM	$2,224,292	ACTIVE
Arcadia Biosciences	https://arpa-e.energy.gov/?q=slick-sheet-project/vegetable-oil-leaves-and-stems	Vegetable Oil from Leaves and Stems	Davis, CA	$1,454,581	ALUMNI
Architectural Applications (A2)	https://arpa-e.energy.gov/?q=slick-sheet-project/energy-efficient-building-ventilation-systems	Energy Efficient Building Ventilation Systems	Portland, OR	$458,251	ALUMNI
Argonne National Laboratory	https://arpa-e.energy.gov/?q=slick-sheet-project/transparent-nanofoam-polymer	Transparent Nanofoam Polymer	Lemont, IL	$3,097,995	ACTIVE
Argonne National Laboratory (ANL)	https://arpa-e.energy.gov/?q=slick-sheet-project/electricity-and-liquid-fuels-natural-gas	Electricity and Liquid Fuels from Natural Gas	Lemont, IL	$1,999,999	ALUMNI
Argonne National Laboratory (ANL)	https://arpa-e.energy.gov/?q=slick-sheet-project/exchange-spring-magnets	Exchange-Spring Magnets	Lemont, IL	$4,750,608	ALUMNI
Arizona State University (ASU)	https://arpa-e.energy.gov/?q=slick-sheet-project/insulating-particulate-coatings	Insulating Particulate Coatings	Tempe, AZ	$2,197,800	ACTIVE
Arizona State University (ASU)	https://arpa-e.energy.gov/?q=slick-sheet-project/multifunctional-cells-electric-vehicles	Multifunctional Cells for Electric Vehicles	Tempe, AZ	$2,000,000	ALUMNI
Arizona State University (ASU)	https://arpa-e.energy.gov/?q=slick-sheet-project/solar-concentrating-photovoltaic-mirror	Solar-Concentrating Photovoltaic Mirror	Tempe, AZ	$2,861,296	ACTIVE
Arizona State University (ASU)	https://arpa-e.energy.gov/?q=slick-sheet-project/stochastic-optimal-power-flow	Stochastic Optimal Power Flow	Tempe, AZ	$3,000,000	ACTIVE
Arizona State University (ASU)	https://arpa-e.energy.gov/?q=slick-sheet-project/turning-bacteria-fuel	Turning Bacteria into Fuel	Tempe, AZ	$6,799,288	ALUMNI
Arizona State University (ASU)	https://arpa-e.energy.gov/?q=slick-sheet-project/diamond-power-transistors	Diamond Power Transistors	Tempe, AZ	$2,193,147	ACTIVE
Arizona State University (ASU)	https://arpa-e.energy.gov/?q=slick-sheet-project/electrochemical-carbon-capture	Electrochemical Carbon Capture	Tempe, AZ	$3,562,130	ALUMNI
Arizona State University (ASU)	https://arpa-e.energy.gov/?q=slick-sheet-project/high-temperature-topping-cells-led-materials	High-Temperature Topping Cells from LED Materials	Tempe, AZ	$3,899,999	ACTIVE
Arizona State University (ASU)	https://arpa-e.energy.gov/?q=slick-sheet-project/metal-air-electric-vehicle-battery	Metal-Air Electric Vehicle Battery	Tempe, AZ	$5,133,150	ALUMNI
Arkansas Power Electronics International, Inc. (APEI)	https://arpa-e.energy.gov/?q=slick-sheet-project/powerful-efficient-electric-vehicle-chargers	Powerful, Efficient Electric Vehicle Chargers	Fayetteville, AR	$3,914,527	ALUMNI
Arzeda	https://arpa-e.energy.gov/?q=slick-sheet-project/metalloenzymes-methane-activation	Metalloenzymes for Methane Activation	Seattle, WA	$999,801	ALUMNI
Aspen Aerogels, Inc.	https://arpa-e.energy.gov/?q=slick-sheet-project/aerogel-insulated-pane	Aerogel Insulated Pane	Northboro, MA	$2,751,377	ACTIVE
Astronautics Corporation of America	https://arpa-e.energy.gov/?q=slick-sheet-project/air-conditioning-magnetic-refrigeration	Air Conditioning with Magnetic Refrigeration	Milwaukee, WI	$2,889,676	ALUMNI
AutoGrid Systems	https://arpa-e.energy.gov/?q=slick-sheet-project/integration-renewables-demand-management	Integration of Renewables via Demand Management	Redwood Shores, CA	$3,465,385	ALUMNI
Avogy	https://arpa-e.energy.gov/?q=slick-sheet-project/vertical-gan-transistors	Vertical GaN Transistors	San Jose, CA	$3,225,000	CANCELLED
Baldor Electric Company	https://arpa-e.energy.gov/?q=slick-sheet-project/rare-earth-free-traction-motor	Rare-Earth-Free Traction Motor	Greenville, SC	$3,045,385	ALUMNI
BASF	https://arpa-e.energy.gov/?q=slick-sheet-project/rare-earth-free-ev-batteries	Rare-Earth Free EV Batteries	Florham Park, NJ	$3,873,537	CANCELLED
