Glint Photonics	https://arpa-e.energy.gov/?q=slick-sheet-project/self-tracking-concentrator-photovoltaics	Self-Tracking Concentrator Photovoltaics	Burlingame, CA	$2,723,172	ALUMNI
GridBright, Inc.	https://arpa-e.energy.gov/?q=slick-sheet-project/power-systems-model-repository	Power Systems Model Repository	Alamo, CA	$1,680,748	ACTIVE
Halotechnics	https://arpa-e.energy.gov/?q=slick-sheet-project/molten-glass-thermal-storage	Molten Glass for Thermal Storage	Emeryville, CA	$3,303,719	ALUMNI
HRL Laboratories	https://arpa-e.energy.gov/?q=slick-sheet-project/vertical-gan-transistor	Vertical GaN Transistor	Malibu, CA	$2,860,989	ACTIVE
HRL Laboratories	https://arpa-e.energy.gov/?q=slick-sheet-project/compact-interactive-electric-vehicle-charger	Compact, Interactive Electric Vehicle Charger	Malibu, CA	$5,504,060	ALUMNI
iMetalx Group	https://arpa-e.energy.gov/?q=slick-sheet-project/advanced-electrowinning-titanium-0	Advanced Electrowinning of Titanium	San Francisco, CA	$2,027,846	CANCELLED
Jet Propulsion Laboratory (JPL)	https://arpa-e.energy.gov/?q=slick-sheet-project/metal-hydride-air-battery	Metal Hydride-Air Battery	Pasadena, CA	$2,717,969	CANCELLED
Kohana	https://arpa-e.energy.gov/?q=slick-sheet-project/dynamically-adjustable-wind-turbine-blades	Dynamically Adjustable Wind Turbine Blades	Richmond, CA	$4,705,000	ACTIVE
Lawrence Berkeley National Laboratory (LBNL) 	https://arpa-e.energy.gov/?q=slick-sheet-project/mems-based-drivers-fusion	MEMS Based Drivers For Fusion	Berkeley, CA	$2,350,000	ACTIVE
Lawrence Berkeley National Laboratory (LBNL)	https://arpa-e.energy.gov/?q=slick-sheet-project/turning-bacteria-biofuel	Turning Bacteria into Biofuel	Berkeley, CA	$3,439,506	ALUMNI
Lawrence Berkeley National Laboratory (LBNL)	https://arpa-e.energy.gov/?q=slick-sheet-project/hydrogen-bromine-flow-battery	Hydrogen-Bromine Flow Battery	Berkeley, CA	$2,021,977	ALUMNI
Lawrence Berkeley National Laboratory (LBNL)	https://arpa-e.energy.gov/?q=slick-sheet-project/oil-tobacco-leaves	Oil from Tobacco Leaves	Berkeley, CA	$4,839,876	ALUMNI
Lawrence Berkeley National Laboratory (LBNL)	https://arpa-e.energy.gov/?q=slick-sheet-project/enzymes-methane-conversion	Enzymes for Methane Conversion	Berkeley, CA	$3,500,000	ALUMNI
Lawrence Livermore National Laboratory (LLNL)	https://arpa-e.energy.gov/?q=slick-sheet-project/wireless-sensor-system-battery-packs	Wireless Sensor System for Battery Packs	Livermore, CA	$2,000,000	ALUMNI
